"V1" "V2" "V3" "V4" "V5"
"1" -0.447213595499958 -0.447213595499958 -0.447213595499958 -0.447213595499958 -0.447213595499958
"2" -0.5 -0.5 -0.5 -0.5 0
"3" -0.447213595499958 -0.447213595499958 -0.447213595499958 -0.447213595499958 0.447213595499958
"4" -0.5 -0.5 -0.5 0 -0.5
"5" -0.577350269189626 -0.577350269189626 -0.577350269189626 0 0
"6" -0.5 -0.5 -0.5 0 0.5
"7" -0.447213595499958 -0.447213595499958 -0.447213595499958 0.447213595499958 -0.447213595499958
"8" -0.5 -0.5 -0.5 0.5 0
"9" -0.447213595499958 -0.447213595499958 -0.447213595499958 0.447213595499958 0.447213595499958
"10" -0.5 -0.5 0 -0.5 -0.5
"11" -0.577350269189626 -0.577350269189626 0 -0.577350269189626 0
"12" -0.5 -0.5 0 -0.5 0.5
"13" -0.577350269189626 -0.577350269189626 0 0 -0.577350269189626
"14" -0.707106781186547 -0.707106781186547 0 0 0
"15" -0.577350269189626 -0.577350269189626 0 0 0.577350269189626
"16" -0.5 -0.5 0 0.5 -0.5
"17" -0.577350269189626 -0.577350269189626 0 0.577350269189626 0
"18" -0.5 -0.5 0 0.5 0.5
"19" -0.447213595499958 -0.447213595499958 0.447213595499958 -0.447213595499958 -0.447213595499958
"20" -0.5 -0.5 0.5 -0.5 0
"21" -0.447213595499958 -0.447213595499958 0.447213595499958 -0.447213595499958 0.447213595499958
"22" -0.5 -0.5 0.5 0 -0.5
"23" -0.577350269189626 -0.577350269189626 0.577350269189626 0 0
"24" -0.5 -0.5 0.5 0 0.5
"25" -0.447213595499958 -0.447213595499958 0.447213595499958 0.447213595499958 -0.447213595499958
"26" -0.5 -0.5 0.5 0.5 0
"27" -0.447213595499958 -0.447213595499958 0.447213595499958 0.447213595499958 0.447213595499958
"28" -0.5 0 -0.5 -0.5 -0.5
"29" -0.577350269189626 0 -0.577350269189626 -0.577350269189626 0
"30" -0.5 0 -0.5 -0.5 0.5
"31" -0.577350269189626 0 -0.577350269189626 0 -0.577350269189626
"32" -0.707106781186547 0 -0.707106781186547 0 0
"33" -0.577350269189626 0 -0.577350269189626 0 0.577350269189626
"34" -0.5 0 -0.5 0.5 -0.5
"35" -0.577350269189626 0 -0.577350269189626 0.577350269189626 0
"36" -0.5 0 -0.5 0.5 0.5
"37" -0.577350269189626 0 0 -0.577350269189626 -0.577350269189626
"38" -0.707106781186547 0 0 -0.707106781186547 0
"39" -0.577350269189626 0 0 -0.577350269189626 0.577350269189626
"40" -0.707106781186547 0 0 0 -0.707106781186547
"41" -1 0 0 0 0
"42" -0.707106781186547 0 0 0 0.707106781186547
"43" -0.577350269189626 0 0 0.577350269189626 -0.577350269189626
"44" -0.707106781186547 0 0 0.707106781186547 0
"45" -0.577350269189626 0 0 0.577350269189626 0.577350269189626
"46" -0.5 0 0.5 -0.5 -0.5
"47" -0.577350269189626 0 0.577350269189626 -0.577350269189626 0
"48" -0.5 0 0.5 -0.5 0.5
"49" -0.577350269189626 0 0.577350269189626 0 -0.577350269189626
"50" -0.707106781186547 0 0.707106781186547 0 0
"51" -0.577350269189626 0 0.577350269189626 0 0.577350269189626
"52" -0.5 0 0.5 0.5 -0.5
"53" -0.577350269189626 0 0.577350269189626 0.577350269189626 0
"54" -0.5 0 0.5 0.5 0.5
"55" -0.447213595499958 0.447213595499958 -0.447213595499958 -0.447213595499958 -0.447213595499958
"56" -0.5 0.5 -0.5 -0.5 0
"57" -0.447213595499958 0.447213595499958 -0.447213595499958 -0.447213595499958 0.447213595499958
"58" -0.5 0.5 -0.5 0 -0.5
"59" -0.577350269189626 0.577350269189626 -0.577350269189626 0 0
"60" -0.5 0.5 -0.5 0 0.5
"61" -0.447213595499958 0.447213595499958 -0.447213595499958 0.447213595499958 -0.447213595499958
"62" -0.5 0.5 -0.5 0.5 0
"63" -0.447213595499958 0.447213595499958 -0.447213595499958 0.447213595499958 0.447213595499958
"64" -0.5 0.5 0 -0.5 -0.5
"65" -0.577350269189626 0.577350269189626 0 -0.577350269189626 0
"66" -0.5 0.5 0 -0.5 0.5
"67" -0.577350269189626 0.577350269189626 0 0 -0.577350269189626
"68" -0.707106781186547 0.707106781186547 0 0 0
